Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
147.32.80.105-147.32.83.53-53-8435-17,147.32.83.53,8435,147.32.80.105,53,17,21/10/2013 09:05:17 AM,891,0,2,0.0,348.0,0,0,0,0,284.0,64.0,174.0,155.56349186104046,390572.3905723906,2244.6689113355783,891.0,0.0,891.0,891.0,0,0,0,0,0,891.0,891.0,0.0,891.0,891.0,0,0,0,0,0,16,0.0,2244.6689113355783,64.0,284.0,137.33333333333331,127.01705922171766,16133.333333333332,0,0,0,0,0,0,0,0,0.0,206.0,0.0,174.0,0,0,0,0,0,0,0,0,2,348,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
147.32.80.105-147.32.83.53-53-41182-17,147.32.83.53,41182,147.32.80.105,53,17,21/10/2013 11:44:47 AM,20835,0,2,0.0,266.0,0,0,0,0,232.0,34.0,133.0,140.0071426749364,12766.978641708663,95.99232061435086,20835.0,0.0,20835.0,20835.0,0,0,0,0,0,20835.0,20835.0,0.0,20835.0,20835.0,0,0,0,0,0,16,0.0,95.99232061435086,34.0,232.0,100.0,114.3153532995459,13068.0,0,0,0,0,0,0,0,0,0.0,150.0,0.0,133.0,0,0,0,0,0,0,0,0,2,266,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
147.32.80.105-147.32.83.53-53-30202-17,147.32.83.53,30202,147.32.80.105,53,17,21/10/2013 07:30:38 AM,545,0,2,0.0,442.0,0,0,0,0,409.0,33.0,221.0,265.87214972614186,811009.1743119266,3669.7247706422017,545.0,0.0,545.0,545.0,0,0,0,0,0,545.0,545.0,0.0,545.0,545.0,0,0,0,0,0,16,0.0,3669.7247706422017,33.0,409.0,158.33333333333331,217.08370121529927,47125.33333333333,0,0,0,0,0,0,0,0,0.0,237.5,0.0,221.0,0,0,0,0,0,0,0,0,2,442,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
147.32.80.105-147.32.83.53-53-45223-17,147.32.83.53,45223,147.32.80.105,53,17,21/10/2013 09:28:10 AM,83892,0,2,0.0,194.0,0,0,0,0,160.0,34.0,97.0,89.09545442950498,2312.4970199780673,23.840175463691413,83892.0,0.0,83892.0,83892.0,0,0,0,0,0,83892.0,83892.0,0.0,83892.0,83892.0,0,0,0,0,0,16,0.0,23.840175463691413,34.0,160.0,76.0,72.74613391789285,5292.0,0,0,0,0,0,0,0,0,0.0,114.0,0.0,97.0,0,0,0,0,0,0,0,0,2,194,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
147.32.80.105-147.32.83.53-53-51109-17,147.32.83.53,51109,147.32.80.105,53,17,21/10/2013 11:44:46 AM,608,0,2,0.0,480.0,0,0,0,0,442.0,38.0,240.0,285.6711395993652,789473.6842105263,3289.4736842105262,608.0,0.0,608.0,608.0,0,0,0,0,0,608.0,608.0,0.0,608.0,608.0,0,0,0,0,0,16,0.0,3289.4736842105262,38.0,442.0,172.66666666666666,233.2495087526088,54405.33333333333,0,0,0,0,0,0,0,0,0.0,259.0,0.0,240.0,0,0,0,0,0,0,0,0,2,480,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
147.32.80.105-147.32.83.53-53-42473-17,147.32.83.53,42473,147.32.80.105,53,17,21/10/2013 09:08:51 AM,43643,0,2,0.0,194.0,0,0,0,0,160.0,34.0,97.0,89.09545442950498,4445.157298994111,45.82636390715579,43643.0,0.0,43643.0,43643.0,0,0,0,0,0,43643.0,43643.0,0.0,43643.0,43643.0,0,0,0,0,0,16,0.0,45.82636390715579,34.0,160.0,76.0,72.74613391789285,5292.0,0,0,0,0,0,0,0,0,0.0,114.0,0.0,97.0,0,0,0,0,0,0,0,0,2,194,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
147.32.80.105-147.32.83.53-53-24683-17,147.32.83.53,24683,147.32.80.105,53,17,21/10/2013 10:03:19 AM,10309,0,2,0.0,348.0,0,0,0,0,284.0,64.0,174.0,155.56349186104046,33756.91143660879,194.0052381414298,10309.0,0.0,10309.0,10309.0,0,0,0,0,0,10309.0,10309.0,0.0,10309.0,10309.0,0,0,0,0,0,16,0.0,194.0052381414298,64.0,284.0,137.33333333333331,127.01705922171766,16133.333333333332,0,0,0,0,0,0,0,0,0.0,206.0,0.0,174.0,0,0,0,0,0,0,0,0,2,348,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
147.32.80.105-147.32.83.53-53-1242-17,147.32.83.53,1242,147.32.80.105,53,17,21/10/2013 11:44:47 AM,250437,0,2,0.0,376.0,0,0,0,0,337.0,39.0,188.0,210.71782079359116,1501.3755954591372,7.98604040137839,250437.0,0.0,250437.0,250437.0,0,0,0,0,0,250437.0,250437.0,0.0,250437.0,250437.0,0,0,0,0,0,16,0.0,7.98604040137839,39.0,337.0,138.33333333333331,172.05038021850848,29601.333333333332,0,0,0,0,0,0,0,0,0.0,207.5,0.0,188.0,0,0,0,0,0,0,0,0,2,376,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
147.32.80.105-147.32.83.53-53-27995-17,147.32.83.53,27995,147.32.80.105,53,17,21/10/2013 08:18:06 AM,28335,0,2,0.0,537.0,0,0,0,0,502.0,35.0,268.5,330.2188668141177,18951.82636315511,70.58408328921828,28335.0,0.0,28335.0,28335.0,0,0,0,0,0,28335.0,28335.0,0.0,28335.0,28335.0,0,0,0,0,0,16,0.0,70.58408328921828,35.0,502.0,190.66666666666666,269.6225757115552,72696.33333333333,0,0,0,0,0,0,0,0,0.0,286.0,0.0,268.5,0,0,0,0,0,0,0,0,2,537,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
147.32.80.105-147.32.83.53-53-2017-17,147.32.83.53,2017,147.32.80.105,53,17,21/10/2013 07:37:06 AM,63832,0,2,0.0,244.0,0,0,0,0,208.0,36.0,122.0,121.62236636408618,3822.534152149392,31.33224714876551,63832.0,0.0,63832.0,63832.0,0,0,0,0,0,63832.0,63832.0,0.0,63832.0,63832.0,0,0,0,0,0,16,0.0,31.33224714876551,36.0,208.0,93.33333333333334,99.30424630061563,9861.333333333334,0,0,0,0,0,0,0,0,0.0,140.0,0.0,122.0,0,0,0,0,0,0,0,0,2,244,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
