Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1.34.38.64-10.0.0.46-13690-58466-6,10.0.0.46,58466,1.34.38.64,13690,6,17/12/2013 04:09:26 PM,13013907,6,6,970.0,593.0,517.0,0.0,161.66666666666666,229.4869640451646,593.0,0.0,98.83333333333333,242.09123624507077,120.10228749905774,0.9220904990330728,1183082.4545454546,2949111.2997028907,1.0022455E7,27.0,1.2656716E7,2531343.2,4533254.757878184,1.0569379E7,7954.0,2991452.0,598290.4,214795.79930552648,946847.0,357138.0,0,0,0,0,192,208,0.4610452495165364,0.4610452495165364,0.0,593.0,120.23076923076923,220.57997561207964,48655.52564102565,0,1,0,0,0,0,0,0,1.0,130.25,161.66666666666666,98.83333333333333,0,0,0,0,0,0,6,970,6,593,-1,254,3,0,0,0,0,0,0,0,0,0,No Label
1.34.38.64-10.0.0.46-13690-58466-6,1.34.38.64,13690,10.0.0.46,58466,6,17/12/2013 04:09:40 PM,588,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401.360544217687,588.0,0.0,588.0,588.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1700.6802721088436,1700.6802721088436,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.46-111.253.136.152-36402-25407-6,10.0.0.46,36402,111.253.136.152,25407,6,17/12/2013 04:09:59 PM,759952,2,3,68.0,0.0,68.0,0.0,34.0,48.08326112068523,0.0,0.0,0.0,0.0,89.47933553698128,6.579362907130977,189988.0,189880.6983432843,359529.0,50.0,53327.0,53327.0,0.0,53327.0,53327.0,759952.0,379976.0,46570.05260894602,412906.0,347046.0,0,0,0,0,64,112,2.6317451628523907,3.947617744278586,0.0,68.0,11.333333333333332,27.760883751542686,770.6666666666666,0,1,0,0,0,0,0,0,1.0,13.6,34.0,0.0,0,0,0,0,0,0,2,68,3,0,-1,256,1,0,0,0,0,0,0,0,0,0,No Label
10.0.0.46-123.194.198.20-57093-25243-6,10.0.0.46,57093,123.194.198.20,25243,6,17/12/2013 04:10:00 PM,12014841,6,5,826.0,547.0,411.0,0.0,137.66666666666666,189.86381083994564,547.0,0.0,109.4,244.625836738477,114.27533664407211,0.9155343795227918,1201484.1,3050784.4448890863,9852447.0,20.0,1.1650342E7,2330068.4,4583273.486468956,1.051742E7,35300.0,2162394.0,540598.5,146083.72883270288,664993.0,364446.0,0,0,0,0,192,176,0.4993823888306137,0.4161519906921781,0.0,547.0,114.41666666666667,199.1045674711627,39642.628787878784,0,1,0,0,0,0,0,0,0.0,124.81818181818181,137.66666666666666,109.4,0,0,0,0,0,0,6,826,5,547,-1,257,3,0,0,0,0,0,0,0,0,0,No Label
10.0.0.46-123.194.198.20-57093-25243-6,123.194.198.20,25243,10.0.0.46,57093,6,17/12/2013 04:10:13 PM,4114,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.14487117160917,4114.0,0.0,4114.0,4114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,243.07243558580458,243.07243558580458,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.46-110.20.170.10-44845-29151-6,10.0.0.46,44845,110.20.170.10,29151,6,17/12/2013 04:10:05 PM,11012313,3,3,68.0,0.0,68.0,0.0,22.666666666666664,39.25981830489455,0.0,0.0,0.0,0.0,6.174906216341653,0.5448446661477929,2202462.6,4502559.33025616,1.0250433E7,49.0,1.0633083E7,5316541.5,7488991.254070504,1.0612058E7,21025.0,761880.0,380940.0,2487.601656214274,382699.0,379181.0,0,0,0,0,96,112,0.27242233307389646,0.27242233307389646,0.0,68.0,9.714285714285714,25.70158416462745,660.5714285714286,0,1,0,0,0,0,0,0,1.0,11.333333333333334,22.666666666666668,0.0,0,0,0,0,0,0,3,68,3,0,-1,15,1,0,0,0,0,0,0,0,0,0,No Label
10.0.0.46-110.20.170.10-44845-29151-6,110.20.170.10,29151,10.0.0.46,44845,6,17/12/2013 04:10:17 PM,39049,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21770083740941,39049.0,0.0,39049.0,39049.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,25.608850418704705,25.608850418704705,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,15,0,0,0,0,0,0,0,0,0,0,No Label
1.34.38.64-10.0.0.46-13690-60531-6,10.0.0.46,60531,1.34.38.64,13690,6,17/12/2013 04:10:39 PM,768378,2,3,68.0,0.0,68.0,0.0,34.0,48.08326112068523,0.0,0.0,0.0,0.0,88.49810900364143,6.507213897326576,192094.5,192651.54647272712,367915.0,29.0,52891.0,52891.0,0.0,52891.0,52891.0,768378.0,384189.0,51825.27020672444,420835.0,347543.0,0,0,0,0,64,112,2.6028855589306303,3.9043283383959455,0.0,68.0,11.333333333333332,27.760883751542686,770.6666666666666,0,1,0,0,0,0,0,0,1.0,13.6,34.0,0.0,0,0,0,0,0,0,2,68,3,0,-1,256,1,0,0,0,0,0,0,0,0,0,No Label
10.0.0.46-111.253.136.152-49068-25407-6,10.0.0.46,49068,111.253.136.152,25407,6,17/12/2013 04:11:00 PM,12013641,6,5,1014.0,597.0,491.0,0.0,169.0,237.21888626329903,597.0,0.0,119.4,266.9865165134749,134.0975645934484,0.9156258290055447,1201364.1,3086801.2234349386,9958152.0,39.0,1.1666806E7,2333361.2,4611805.679609094,1.0572233E7,20786.0,2055489.0,513872.25,116336.43497023336,614120.0,346786.0,0,0,0,0,192,176,0.4994322703666607,0.4161935586388839,0.0,597.0,134.25,232.1563442635548,53896.56818181817,0,1,0,0,0,0,0,0,0.0,146.45454545454547,169.0,119.4,0,0,0,0,0,0,6,1014,5,597,-1,254,3,0,0,0,0,0,0,0,0,0,No Label
10.0.0.46-111.253.136.152-49068-25407-6,111.253.136.152,25407,10.0.0.46,49068,6,17/12/2013 04:11:13 PM,30,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66666.66666666667,30.0,0.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,33333.333333333336,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
