Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.8.8.8-10.0.0.34-53-33008-17,10.0.0.34,33008,8.8.8.8,53,17,24/03/2015 01:59:32 PM,269204,1,3,37.0,283.0,37.0,37.0,37.0,0.0,157.0,37.0,94.33333333333333,60.17751518078271,1188.6896182820462,14.858620228525579,89734.66666666667,78655.86740563817,147220.0,96.0,0,0,0,0,0,269204.0,134602.0,17844.546730023714,147220.0,121984.0,0,0,0,0,8,24,3.7146550571313948,11.143965171394184,37.0,157.0,71.4,52.884780419322915,2796.8,0,0,0,0,0,0,0,0,3.0,89.25,37.0,94.33333333333333,0,0,0,0,0,0,1,37,3,283,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.0.0.34-53-49676-17,10.0.0.34,49676,8.8.8.8,53,17,24/03/2015 02:53:37 PM,128229,0,2,0.0,96.0,0,0,0,0,65.0,31.0,48.0,24.041630560342615,748.6605993963923,15.597095820758174,128229.0,0.0,128229.0,128229.0,0,0,0,0,0,128229.0,128229.0,0.0,128229.0,128229.0,0,0,0,0,0,16,0.0,15.597095820758174,31.0,65.0,42.333333333333336,19.629909152447276,385.33333333333337,0,0,0,0,0,0,0,0,0.0,63.5,0.0,48.0,0,0,0,0,0,0,0,0,2,96,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.0.0.34-53-36997-17,10.0.0.34,36997,8.8.8.8,53,17,24/03/2015 01:37:22 PM,322155,1,3,30.0,325.0,30.0,30.0,30.0,0.0,169.0,30.0,108.33333333333333,71.16412954103586,1101.954028340395,12.416383417919944,107385.0,93477.03548465794,171338.0,106.0,0,0,0,0,0,322155.0,161077.5,14660.44489434069,171444.0,150711.0,0,0,0,0,8,24,3.104095854479986,9.31228756343996,30.0,169.0,77.0,66.12866246946176,4373.0,0,0,0,0,0,0,0,0,3.0,96.25,30.0,108.33333333333333,0,0,0,0,0,0,1,30,3,325,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.0.0.34-53-45233-17,10.0.0.34,45233,8.8.8.8,53,17,24/03/2015 02:04:03 PM,254252,1,3,37.0,283.0,37.0,37.0,37.0,0.0,157.0,37.0,94.33333333333333,60.17751518078271,1258.5938360366881,15.732422950458602,84750.66666666667,73692.70136406545,134419.0,80.0,0,0,0,0,0,254252.0,127126.0,10313.859510386983,134419.0,119833.0,0,0,0,0,8,24,3.9331057376146505,11.79931721284395,37.0,157.0,71.4,52.884780419322915,2796.8,0,0,0,0,0,0,0,0,3.0,89.25,37.0,94.33333333333333,0,0,0,0,0,0,1,37,3,283,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.0.0.34-53-40977-17,10.0.0.34,40977,8.8.8.8,53,17,24/03/2015 02:45:32 PM,147641,0,2,0.0,157.0,0,0,0,0,124.0,33.0,78.5,64.34671708797582,1063.3902506756253,13.546372620071661,147641.0,0.0,147641.0,147641.0,0,0,0,0,0,147641.0,147641.0,0.0,147641.0,147641.0,0,0,0,0,0,16,0.0,13.546372620071661,33.0,124.0,63.33333333333333,52.53887449625594,2760.333333333333,0,0,0,0,0,0,0,0,0.0,95.0,0.0,78.5,0,0,0,0,0,0,0,0,2,157,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.0.0.34-53-59123-17,10.0.0.34,59123,8.8.8.8,53,17,24/03/2015 03:04:12 PM,187413,0,2,0.0,126.0,0,0,0,0,89.0,37.0,63.0,36.76955262170047,672.3119527460742,10.671618297556734,187413.0,0.0,187413.0,187413.0,0,0,0,0,0,187413.0,187413.0,0.0,187413.0,187413.0,0,0,0,0,0,16,0.0,10.671618297556734,37.0,89.0,54.33333333333333,30.02221399786054,901.3333333333333,0,0,0,0,0,0,0,0,0.0,81.5,0.0,63.0,0,0,0,0,0,0,0,0,2,126,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.0.0.34-53-59089-17,10.0.0.34,59089,8.8.8.8,53,17,24/03/2015 02:09:11 PM,120261,0,2,0.0,157.0,0,0,0,0,124.0,33.0,78.5,64.34671708797582,1305.493884135339,16.630495339303682,120261.0,0.0,120261.0,120261.0,0,0,0,0,0,120261.0,120261.0,0.0,120261.0,120261.0,0,0,0,0,0,16,0.0,16.630495339303682,33.0,124.0,63.33333333333333,52.53887449625594,2760.333333333333,0,0,0,0,0,0,0,0,0.0,95.0,0.0,78.5,0,0,0,0,0,0,0,0,2,157,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.0.0.34-53-36482-17,10.0.0.34,36482,8.8.8.8,53,17,24/03/2015 02:04:01 PM,269923,1,3,37.0,223.0,37.0,37.0,37.0,0.0,99.0,37.0,74.33333333333333,32.88363321370273,963.2376640745694,14.819040985762605,89974.33333333333,77932.66522667714,139177.0,121.0,0,0,0,0,0,269923.0,134961.5,5961.617272183782,139177.0,130746.0,0,0,0,0,8,24,3.7047602464406513,11.114280739321954,37.0,99.0,59.4,30.964495797606652,958.8000000000001,0,0,0,0,0,0,0,0,3.0,74.25,37.0,74.33333333333333,0,0,0,0,0,0,1,37,3,223,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.0.0.34-53-54593-17,10.0.0.34,54593,8.8.8.8,53,17,24/03/2015 01:30:23 PM,306063,1,3,35.0,177.0,35.0,35.0,35.0,0.0,91.0,35.0,59.0,28.844410203711913,692.6678494296926,13.069204706220615,102021.0,88302.28909263904,155623.0,104.0,0,0,0,0,0,306063.0,153031.5,3812.012657376678,155727.0,150336.0,0,0,0,0,8,24,3.267301176555154,9.801903529665461,35.0,91.0,49.4,24.265201420964964,588.8000000000001,0,0,0,0,0,0,0,0,3.0,61.75,35.0,59.0,0,0,0,0,0,0,1,35,3,177,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.0.0.34-53-38250-17,10.0.0.34,38250,8.8.8.8,53,17,24/03/2015 02:36:47 PM,1002772,0,2,0.0,128.0,0,0,0,0,93.0,35.0,64.0,41.012193308819754,127.64616483108823,1.9944713254857536,1002772.0,0.0,1002772.0,1002772.0,0,0,0,0,0,1002772.0,1002772.0,0.0,1002772.0,1002772.0,0,0,0,0,0,16,0.0,1.9944713254857536,35.0,93.0,54.33333333333333,33.48631561299829,1121.3333333333333,0,0,0,0,0,0,0,0,0.0,81.5,0.0,64.0,0,0,0,0,0,0,0,0,2,128,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
